Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Рябченко,Богуслав,Георгійович,Чоловіча,1977-02-02,Прокурор,Новий Калинів,"площа Марії Демченко 2-й, буд. 499, Помічна, 78448",+380 97 024 28 29,gdrobiazko@example.org
Таран,Орина,Миколаївна,Жіноча,1972-12-02,Гінеколог,Васильків,"провулок Успенський, буд. 8, Новоукраїнка, 47277",056 140 66 76,vladyslavhabelko@example.org
Єрошенко,Алла,Охрімівна,Жіноча,1983-09-13,Футболіст,Алмазна,"проспект Соляний 5-й, буд. 87, Хуст, 26511",+380 59 963-43-72,oleksa63@example.org
Кармалюк,Наталія,Яремівна,Жіноча,2004-03-24,Кінорежисер,Трускавець,"сквер Цементний, буд. 408 кв. 953, Берислав, 05425",+380 99 169-62-16,banduraostap@example.org
Мазур,Арсен,Орестович,Чоловіча,2001-03-19,Кінорежисер,Дружківка,"узвіз Єрмака, буд. 12 кв. 0, Дубно, 59567",+380 (20) 754-19-41,verhunsvitlana@example.net
Вернидуб,Одарка,Адамівна,Жіноча,1994-11-03,Різноробочий,Лисичанськ,"набережна Рожева, буд. 2, Охтирка, 15144",888 18 96,rostyslavhres@example.com
Батюк,Варвара,Дмитріївна,Жіноча,1986-05-01,Соціолог,Докучаєвськ,"парк Сільськогосподарський, буд. 468 кв. 4, Новомиргород, 06937",044 288 22 21,liashkoihor@example.com
Гаврюшенко,Лілія,Мирославівна,Жіноча,1973-04-02,Електрослюсар,Городня,"вулиця Прокатна, буд. 612 кв. 2, Гірське, 33738",142-76-06,zlatoslavapetrenko@example.org
Рева,Олекса,Амвросійович,Чоловіча,2013-08-03,Маркетолог,Вознесенівка,"проспект Манежний, буд. 9, Рахів, 19866",993 31 00,wkolodub@example.net
Саєнко,Ольга,Олегівна,Жіноча,2021-09-25,Фотограф,Чигирин,"площа Композитора Ніщинського, буд. 437 кв. 730, Миколаїв, 93915",007-13-37,usykavrelii@example.org
Гречаник,Розалія,Леонтіївна,Жіноча,1985-02-13,Актор,Збараж,"проспект Шевченка, буд. 5 кв. 10, Генічеськ, 18421",+380 72 001-51-42,ihor75@example.com
Журавель,Данна,Пилипівна,Жіноча,2024-02-14,Прокурор,Сміла,"провулок 8-ма Лінія Дачі Ковалевського, буд. 881 кв. 144, Рава-Руська, 09488",+380 (71) 683-40-11,ehodunok@example.org
Гайденко,Олена,Станіславівна,Жіноча,1975-05-15,Електромонтер,Миколаївка ,"провулок Дігтярна, буд. 26 кв. 76, Рахів, 10438",933-32-43,balabansolomiia@example.net
Артюх,Олекса,Симонович,Чоловіча,2005-09-26,Пекар,Краматорськ,"парк Сімферопольська, буд. 598 кв. 4, Кілія, 15253",042 318-30-93,vashchenkovladyslav@example.net
Кабаненко,Феофан,Євгенійович,Чоловіча,1979-06-21,Водій,Алмазна,"шосе Проектна 2-га, буд. 8, Малин, 96428",+380 15 900-04-48,wparasiuk@example.com
Байда,Мартин,Валентинович,Чоловіча,1970-03-21,Вчитель,Могилів-Подільський,"сквер Архітектурна, буд. 118, Слов'янськ, 35646",072 316-47-46,markoperebyinis@example.org
Бевзенко,Альбіна,Олександрівна,Жіноча,2002-03-31,Льотчик,Радомишль,"парк Республіканська, буд. 2 кв. 21, Карлівка, 56757",038 967 74 89,mariiaartymyshyn@example.net
Вовк,Веніямин,Георгійович,Чоловіча,2006-08-09,Перекладач,Ірпінь,"парк Вапняний 2-й, буд. 305 кв. 943, Виноградів, 94018",009 827 82 61,achumak@example.org
Карась,Клавдія,Юхимівна,Жіноча,2008-08-29,Патологоанатом,Благовіщенське,"вулиця Лиманчик 2-й Лінія 4-та, буд. 74 кв. 69, Заліщики, 20542",691 33 52,leon13@example.org
Фоменко,Веніямин,Олександрович,Чоловіча,2009-06-19,Математик,Нова Одеса,"узвіз 14-та Лінія 6-й ст. Люстдорфської дороги, буд. 37 кв. 536, Сватове, 53722",+380 58 978 69 98,solomon03@example.com
Демʼяненко,Ада,Охрімівна,Жіноча,1972-05-08,Геофізик,Дружківка,"узвіз Карантинний узвіз, буд. 48, Новоград-Волинський, 08322",+380 03 574-33-24,demydenkostefan@example.com
Мамчур,Ярема,Аркадійович,Чоловіча,1977-12-11,Ювелір,Барвінкове,"сквер Джерельна, буд. 471, Узин, 46155",088 014 64 24,solomiiateslia@example.net
Колісниченко,Петро,Ааронович,Чоловіча,2001-06-30,Хореограф,Сміла,"площа Магнітогорська, буд. 625, Хмельницький, 85856",+380 54 392-00-55,leonid30@example.org
Бабій,Наталія,Орхипівна,Жіноча,1989-01-01,Публіцист,Кілія,"шосе Грузинська, буд. 40 кв. 0, Новий Розділ, 78780",740 08 28,vasylynasatsiuk@example.net
Андрієвич,Любов,Климентівна,Жіноча,2004-09-16,Літературознавець,Ямпіль,"провулок 8-ма Суворовська, буд. 2, Великі Мости, 67074",+380 23 189-53-17,roksolanazubko@example.net
Затовканюк,Євген,Станіславович,Чоловіча,2014-12-06,Візажист,Дніпро ,"площа Пестеля, буд. 8 кв. 475, Первомайськ, 51531",041 161-05-06,iukhym62@example.net
Рудик,Альберт,Остапович,Чоловіча,1988-06-01,Краєзнавець,Новодністровськ,"площа Трамвайний, буд. 7, Соснівка , 39510",085 703-67-52,leoniddotsenko@example.com
Ґерус,Феофан,Дмитрович,Чоловіча,2020-04-17,Художник,Барвінкове,"проспект Катаєва, буд. 282 кв. 6, Верхівцеве, 49224",059 768-63-39,artymovychihor@example.com
Пилипенко,Орина,Миколаївна,Жіноча,2023-10-19,Астроном,Зеленодольськ,"площа 3-тя Суворовська, буд. 658, Городок, 85273",033 902-71-97,panasduplii@example.net
Пʼятаченко,Ігнат,Зорянович,Чоловіча,1989-08-11,Гірник,Славута,"парк Красний, буд. 545 кв. 9, Амвросіївка, 45766",+380 67 074 00 83,vadymlytvynenko@example.com
Тихий,Пантелеймон,Аврелійович,Чоловіча,2008-09-12,Агроном,Заводське,"проспект Валіховський, буд. 8, Тальне, 46545",067 537-57-41,chubaibohdan@example.net
Зінченко,Трохим,Леопольдович,Чоловіча,1973-12-21,Археолог,Хрестівка,"набережна Желябова, буд. 899 кв. 0, Костопіль, 98989",963-20-93,ostap41@example.net
Свириденко,Левко,Прохорович,Чоловіча,2011-08-27,Клоун,Нове Давидково,"провулок Оранжерейний, буд. 67 кв. 1, Запоріжжя, 95121",+380 87 926-07-75,emiliia25@example.net
Швачка,Давид,Юстимович,Чоловіча,1970-10-28,Стиліст,Винники,"набережна Учительський, буд. 384 кв. 041, Верхньодніпровськ, 58577",+380 81 695-03-54,komarherman@example.com
Пилипенко,Богдан,Олексович,Чоловіча,2004-11-11,Мистецтвознавець,Южноукраїнськ,"набережна Трамвайний, буд. 08 кв. 1, Амвросіївка, 09702",057 484 53 79,iaroslava45@example.org
Козаченко,Тетяна,Марківна,Жіноча,2001-03-26,Льотчик,Красноперекопськ,"шосе Лінія 33-тя, буд. 90 кв. 3, Шостка, 67855",599 40 71,tsisykavhustyn@example.com
Заруба,Валентина,Степанівна,Жіноча,1978-02-02,Кур'єр,Бахмут,"проспект Обільний 1-й, буд. 025, Нікополь, 89438",067 534 84 71,demyd78@example.org
Барабаш,Антон,Георгійович,Чоловіча,2017-06-21,Фізик,Мостиська,"вулиця Іцхака Рабіна, буд. 687 кв. 260, Роздільна, 76179",881-38-57,milenaprotsenko@example.com
Іщак,Валентина,Єлисеївна,Жіноча,2009-04-14,Няня,Немирів,"провулок Садова 2-га, буд. 65 кв. 65, Гребінка, 95085",+380 14 712 54 31,fderkach@example.org
Адамчук,Йосип,Соломонович,Чоловіча,2003-10-01,Парфюмер,Знам'янка,"вулиця Куликовський 2-й, буд. 26 кв. 804, Умань, 97531",195 41 11,iaroslavdeineko@example.org
Шаблій,Камілла,Миколаївна,Жіноча,1986-03-07,Машиніст,Петрово-Красносілля,"вулиця Толбухіна, буд. 371, Кодима, 97582",+380 (67) 553-28-58,ieva96@example.org
Щербань,Демʼян,Євгенійович,Чоловіча,1972-05-15,Бізнесмен,Миронівка,"парк Пржевальського, буд. 0 кв. 907, Чистякове, 95962",+380 12 032-92-61,mykhailo00@example.org
Демиденко,Хома,Владиславович,Чоловіча,1979-07-20,Астроном,Українка ,"вулиця Кільцева, буд. 244 кв. 15, Батурин, 82461",888-55-28,qisaienko@example.net
Дергач,Аврелій,Борисович,Чоловіча,1974-12-26,Локсмайстер,Щастя ,"проспект Єрмака, буд. 352 кв. 8, Яремче, 99191",070 137 01 02,vfranchuk@example.com
Акуленко,Яків,Несторович,Чоловіча,1997-11-30,Фотограф,Чорноморськ,"провулок Лінія 47-ма, буд. 7 кв. 73, Оріхів, 54926",061 624 13 50,davydmasliak@example.com
